	gamma_T0vT12	gamma_T0vT12	gamma_T0vT12	gamma_T0vT12	gamma_T0vT18	gamma_T0vT18	gamma_T0vT18	gamma_T0vT18
LH07949	0.05179108	2.261571644	0.898768774		0.970684196	4.163497436	2.619693699	
LH07951	0.611652598	0.571912571	1.20718025		2.282490273	0.854202279	1.650491734	
LH07954	0.718099764	0.130172161	0.285352649		3.128015447	1.44847971	2.491304545	
LH07955	0.349702389	0.688582182	0.441461406		0.700566278	1.025377331	1.092122522	
LH07957	0.049737604	0.095734621	0.0855987		0.187273389	1.322575098	0.9471098	
LH07958	0.05786682	2.20955846	1.143239686		0.206635697	4.195192899	0.796127818	
LH07959	0.004716689	0.00508617	0.021638102		0.953900951	0.304875576	0.487523227	
LH07962	0.015207089	0.07228042	0.05369259		0.135707935	1.028744903	0.834071551	
LH07963	4.784965799	3.176948435	4.791116482		11.33965774	4.613575286	8.544847598	lncRNA hit
LH07964	0.299505368	0.130140113	0.435791148		1.86390527	0.840440759	1.706063532	
LH07966	0.242292726	0.11165115	0.001138589		0.064238171	0.18530036	0.031958355	
LH07967	0.153684806	0.045839121	0.110086228		0.69178154	0.055807883	0.445396461	
LH07968	0.638587761	0.049229934	0.392214434		0.162714828	0.056952902	0.028622242	
LH07970	5.648684889	0.529888504	3.682368675		2.069435906	0.162921958	0.84319283	
LH07971	0.130665923	0.009270748	0.088863408		1.526081632	0.254531036	1.130263043	
LH07972	0.843419015	0.457063409	0.022644351		2.012433149	0.515921116	0.08530203	
LH07973	4.164673472	2.176987959	3.72720901		8.165673553	6.879227183	9.316203953	lncRNA hit
LH07974	1.200328691	0.843489156	2.178105708		5.165361731	1.136724255	4.439327819	
LH07975	0.104972518	0.016945299	0.126622286		0.141804041	1.617310553	0.302726717	
LH07976	0.423436618	1.241943799	0.146582025		1.564310801	0.315008265	0.9335299	
LH07981	0.119853692	0.001319962	0.058839046		0.008668697	0.105553121	0.036782718	
LH07982	0.953882255	5.326813465	3.375927802		4.651554389	6.372392105	6.460416525	
LH07983	0.025942213	0.196826208	0.032442992		0.081737164	0.030458747	0.011615914	
LH07985	0.348254464	0.031100658	0.001097162		0.076481431	0.214912007	0.002171138	
LH07986	0.703444993	6.30E-05	0.175810259		0.094271601	0.114273517	0.02639999	
LH07987	4.224173568	0.571706745	4.767196144		0.513849892	7.594980028	1.927132956	
LH07988	0.680250732	0.263340129	0.467652068		1.299970165	0.600107972	1.331940505	
LH07989	0.066344517	0.010155611	0.010910946		1.148294323	0.146420592	0.698402382	
LH07991	0.467581037	0.004896751	0.065753333		0.444735476	0.015571241	0.192171206	
LH07992	0.012766395	0.058394323	0.014848158		0.100883508	0.010523446	0.086240756	
LH07993	0.064025134	1.193417322	0.714549009		0.000722195	0.113809161	0.049223111	
LH07994	0.001637441	0.221828143	0.087609773		1.348645232	0.003152042	0.48445679	
LH08001	23.40066642	13.40349389	20.8741118	lncRNA hit	25.83079913	23.79534149	31.31521509	lncRNA hit
LH08002	0.012316262	0.111345721	0.042126156		0.101818859	0.743579134	0.616593997	
LH08004	0.814365433	0.352641561	0.669698401		1.172879465	0.242965139	0.940018236	
LH08011	3.816192342	0.25210496	1.762212297		0.350300305	1.784566956	0.378252689	
LH08012	0.432314534	0.11212533	0.679686184		0.566647175	1.84647825	1.408793888	
LH08013	0.533631547	1.723764451	0.050483966		0.070334512	0.127340543	0.014939023	
LH08014	2.587690662	2.712332828	3.695480379		3.423187449	1.991026643	3.102641319	
LH08016	0.182232592	1.988184207	0.602624389		1.673994791	0.858990653	1.524546709	
LH08017	0.047616585	0.215380566	0.074084955		0.030893573	0.323017393	0.023790121	
LH08018	0.440395592	0.001909082	0.180644308		3.416646886	0.001896345	1.093864332	
LH08020	0.35409947	1.458757479	0.901863021		0.505814626	1.212357142	0.460312539	
LH08021	0.000436031	0.501635707	0.263366555		0.209546503	0.567877417	0.285492138	
LH08025	0.476678364	2.717383343	2.720401241		3.021264046	5.711566332	4.872665374	
LH08027	0.42193887	0.177472408	0.358331584		0.041822849	0.009265482	0.010684901	
LH08029	0.535925364	0.079826221	0.252874977		0.059085496	0.319413252	0.247017345	
LH08030	2.344050235	2.779560272	2.080867084		3.216081972	8.302542145	5.046808989	
LH08033	2.454003064	1.027907813	1.852002359		1.145614644	0.478042015	0.692261194	
LH08035	0.310872566	1.406400573	0.432545528		0.444931212	0.124250197	0.445286499	
LH08036	0.199911724	0.201200702	0.206064635		0.642384196	0.280949347	0.838911022	
LH08042	0.177423505	0.286189474	0.140533314		1.75221196	0.553889243	1.301645532	
LH08044	0.046259056	1.206872771	0.290340294		0.180355883	0.479385088	0.370263561	
LH08045	0.774377906	1.070964272	2.130452277		1.183899853	0.820555754	0.46509203	
LH08048	2.565322623	1.211104231	2.151478129		4.850987497	2.007330739	4.319775967	
LH08055	0.498246296	5.015968353	1.78625522		4.25802013	8.311564772	6.04034658	
LH08056	11.34358494	4.504977607	9.727285109	lncRNA hit	19.51829252	6.682061845	15.98936921	lncRNA hit
LH08057	1.462506224	0.400943706	0.218859612		0.343523289	0.080851683	0.327855743	
LH08059	0.003893339	0.034403175	0.005633303		0.082163839	0.564408718	0.030830074	
LH08061	4.121324999	0.262475696	2.858320797		2.977383547	1.381042266	0.882647384	
LH08063	2.949461527	1.646166289	3.069009595		0.326430137	0.134682598	0.438182071	
LH08066	0.781081327	2.413687718	1.975646825		5.367546395	0.076540478	3.592439955	
LH08068	1.058787983	0.250640149	0.008104878		0.209372691	0.30233645	0.041048272	
LH08073	7.850443294	3.379270846	7.596472236	lncRNA hit	3.484511366	0.121411362	1.87745043	
LH08074	0.11142731	0.060739431	0.081801547		0.379707593	0.171860558	0.99889613	
LH08076	0.00371875	0.000647673	0.012754777		0.005755581	0.073359614	0.071905637	
LH08077	0.451992515	0.621332039	0.555358325		0.439947843	0.068904869	0.320302756	
LH08079	1.301372865	3.289665391	4.441666521		6.964127291	0.425129871	4.385725035	
LH08080	0.614734174	0.365459202	1.133555276		0.492281972	0.176059806	0.462226417	
LH08082	7.064276931	4.706777517	4.345202422		12.74485722	16.46334097	13.23212174	lncRNA hit
LH08083	0.049658471	0.095999169	0.169073511		0.671231274	0.207990838	0.016889491	
LH08085	2.069050237	0.007096581	0.172152167		2.998195461	1.700823392	2.930269594	
LH08086	0.410570021	0.014074993	0.087922639		0.124404987	0.085480456	0.114803659	
LH08087	1.254626026	4.133710592	3.364850871		5.552965519	7.173596103	8.18611866	lncRNA hit
LH08091	1.975452583	0.151311662	1.029457919		2.043089175	0.225278466	1.072747224	
LH08095	0.00256968	0.238458112	0.15939379		0.010279875	0.30672915	0.151643547	
LH08096	2.875303836	1.996135919	3.206810573		5.518898041	0.912972639	4.168595591	
LH08099	1.099965898	0.005533826	0.230273876		1.125244751	0.138687494	0.708062413	
LH08102	0.048724128	0.341445412	0.097741301		1.41528786	0.695270816	1.271492008	
LH08105	0.112853296	0.291194244	0.235100141		0.462897083	1.558550589	0.885406226	
LH08108	0.110388598	0.303894639	0.007235942		0.005530634	0.527962445	0.006445854	
LH08109	0.005920591	0.296938207	0.031870273		0.047428347	0.286516502	0.131395224	
LH08112	0.251123712	0.105784903	0.394454703		0.587761247	0.889999218	1.305870787	
LH08115	0.015919342	0.709041496	0.419630104		0.761131615	0.30671595	0.516718092	
LH08116	0.045588721	0.017653755	0.034717912		0.434778301	1.491513823	1.729587328	
LH08121	0.158913252	0.144820435	0.20049117		0.196482953	0.657638552	0.285225447	
LH08126	2.546386405	1.875142041	0.442446326		2.77686418	0.120932547	1.379390999	
LH08127	0.532702721	0.070400168	0.382538766		0.170994719	0.421778833	0.564590985	
LH08128	0.022397582	2.1179728	0.273353329		0.4789377	0.314274345	0.112347394	
LH08131	0.031015966	0.06114538	0.001051903		0.489478892	4.759183923	3.182971713	
LH08132	1.27705179	0.670203089	1.136437565		0.760244651	0.284936141	0.599292424	
LH08133	1.296335976	0.156122998	0.78393267		0.402758857	0.220267595	0.474786748	
LH08134	0.217473436	0.388474885	0.196875186		0.315509233	0.099348451	0.061085892	
LH08137	1.01562425	0.803085135	1.278220297		0.429007646	0.010425078	0.301915983	
LH08138	0.180585256	0.674451895	0.281175915		0.012784709	1.460718056	0.368135235	
LH08139	0.287393867	0.010164831	0.009061525		0.105620746	0.584330241	0.297375861	
LH08140	0.407464733	0.053970014	0.28426025		1.294078986	0.57420829	1.950046126	
LH08144	7.358670144	8.725390861	8.631585978	Neighbor hit	8.378177129	12.35551088	13.54469656	Neighbor hit
LH08146	0.271398809	0.31915781	0.033871586		0.06559055	0.150289886	0.09921272	
LH08147	1.165219455	0.148754719	1.148459858		2.397345899	1.455339975	2.892216121	
LH08148	0.46444893	1.390548823	0.471614421		0.002582276	0.767325976	0.795214521	
LH08152	0.028549786	0.100656978	0.038261329		1.325713493	2.670146097	2.408725423	
LH08154	0.050459843	0.027119955	0.020237255		0.281345015	0.278154678	0.166988854	
LH08155	5.86674776	4.651100508	6.377919289		8.338062068	9.548778097	10.66220155	Neighbor hit
LH08156	2.453466806	2.126425096	1.199606999		0.85733349	1.732669504	0.003414512	
LH08157	3.156817276	0.498177725	2.369982383		3.242769417	2.423082963	3.689897024	
LH08163	0.073054078	0.12884017	0.094206864		0.048297595	0.067856706	0.073362032	
LH08164	0.016421645	0.001834658	0.035739348		0.006908317	0.002481434	0.012287302	
LH08165	0.755068173	0.242297531	0.062148818		2.506897065	1.010205391	1.678014849	
LH08166	0.805000995	0.113250295	0.587225255		1.289463017	0.603486063	1.089397646	
LH08167	0.132835862	1.183315608	0.110145555		0.124652052	0.142855721	0.041217824	
LH08169	0.026308328	0.322026019	0.212647635		0.212868574	0.574319748	0.418248891	
LH08170	4.359704311	6.110615287	6.438880737		5.482128486	1.719811858	3.950595714	
LH08172	7.164006377	6.467278023	8.568085088	lncRNA hit	7.451051887	6.874121519	9.456351517	lncRNA hit
LH08176	0.083851755	1.441334597	0.403524804		1.140120715	0.77275547	1.660911491	
LH08177	0.090370659	0.143706611	0.020745634		0.027460252	0.534086311	0.033279077	
LH08178	0.03653986	0.265718484	0.048564328		1.028654308	0.664461726	1.152878533	
LH08180	0.330059904	0.088343687	0.887472357		0.595263791	0.021767195	0.250520153	
LH08184	0.217828834	0.005995947	0.10173451		0.714863384	0.478809269	0.547784575	
LH08185	0.641994248	0.105925716	0.36566932		0.246811994	1.913534004	1.014771987	
LH08192	0.140852115	0.293228019	0.202601978		0.162651405	0.073115507	0.040730093	
LH08193	0.268568252	3.2656287	1.71882136		0.194806504	1.379665337	0.581638817	
LH08194	0.410239105	0.265707719	0.100308086		2.471968452	0.389993225	1.650068033	
LH08195	0.748529689	0.427148302	0.470428273		4.970314321	1.919858634	4.40315191	
LH08196	11.8439737	5.426962798	10.08823632	lncRNA hit	29.41100129	23.55708125	31.97128564	lncRNA hit
LH08197	0.064818113	0.262048699	0.157858683		1.421394706	2.84543219	2.232360245	
LH08199	0.351432584	4.264483972	2.783746768		2.897008169	3.85424444	4.06673837	
LH08200	1.270550484	0.124881086	0.303447366		1.564725008	0.388772932	0.176491079	
LH08201	0.036878147	0.035704226	0.026622904		0.04500876	0.001540724	0.009507587	
LH08202	1.193340223	0.434719278	1.098517162		0.442047259	0.014714595	0.211498559	
LH08203	0.276105508	0.079819897	0.225363131		0.077498239	0.238926169	0.22953678	
LH08204	0.18819501	0.534599408	0.497563994		2.461689428	0.191391166	1.336649329	
LH08208	2.002657973	0.312811858	1.216084081		1.340541565	0.052695127	0.767679744	
LH08211	1.789476215	9.184005339	0.236617065		0.119516035	4.567539842	1.920233356	
LH08212	0.071179609	0.235248805	0.078043124		0.033061661	0.136493886	0.022264834	
LH08217	2.222795007	0.02914935	1.283785234		0.108611639	0.510829494	0.304814466	
LH08220	0.329564206	0.163711782	0.490867225		1.040491255	4.772233774	3.755950775	
LH08225	0.466400679	1.067595139	0.822024654		0.039365182	0.337294647	0.036610726	
LH08226	2.747615559	0.383919216	1.879289666		15.91973958	9.286345585	15.98608945	lncRNA hit
LH08231	0.174621219	0.055113586	0.138135754		1.690791098	0.174680727	1.041818978	
LH08232	0.596430663	0.950393873	1.121456477		0.883291872	0.557498821	1.367513278	
LH08233	0.28810504	0.788480454	0.027166475		1.010940403	0.519814322	0.008633199	
LH08235	0.044270527	0.049335011	0.020453256		0.068112388	0.254154413	0.174456096	
LH08240	0.042283333	0.008091982	0.004575638		0.145705952	0.343538593	0.098948641	
LH08241	2.23755797	0.010284156	0.526407323		0.112611803	0.871381349	0.499983724	
LH08243	1.787593243	0.430533058	0.779726578		1.435859513	0.046155596	0.545855601	
LH08246	0.557758401	3.43715438	0.463052897		1.1482344	3.116720483	0.338776171	
LH08247	0.203099847	0.029844952	0.028221159		0.143387121	0.136852361	0.060093372	
LH08248	0.126823972	0.202934715	0.092302848		0.141857071	0.858176171	2.098195854	
LH08254	3.183502189	0.561748744	2.316491238		5.944242283	1.520596296	4.182381965	
LH08255	0.586052881	0.212259056	0.500535686		1.031556849	0.20068122	1.012975298	
LH08256	4.388418481	1.398413864	3.399732636		4.332119959	0.871521765	4.429762782	
LH08258	1.755007122	0.880501649	1.66719642		0.718287796	1.01436442	1.154345969	
LH08259	0.009153159	0.082311129	0.042107264		0.034872151	1.489469643	0.726744811	
LH08260	0.619354801	0.634013226	0.792619661		1.405565097	2.361635535	2.213257589	
LH08261	0.109418971	0.252135652	0.044518732		0.481914316	1.138274742	0.139828515	
LH08262	1.06661411	5.678605085	4.329393651		2.267331247	3.535966579	4.263065206	
LH08264	0.022743372	0.545114032	0.156631134		0.016198679	0.18217999	0.119509821	
LH08265	0.397171847	0.128592716	0.307200174		0.42125953	0.001128162	0.293908797	
LH08266	0.246254602	0.017854558	0.076950885		0.577594157	0.338116519	0.493985582	
LH08267	0.144723059	0.074577336	0.161619861		0.085602049	1.831766736	0.768238739	
LH08268	0.058190801	0.329592071	0.422570534		0.434544269	0.046881566	0.15001092	
LH08269	0.068517827	0.240948286	0.084964526		0.000610229	0.579654982	0.240721821	
LH08270	0.499404483	0.066260553	0.357034092		0.906424699	0.895472228	0.982699766	
LH08271	0.962247682	0.046819888	0.577928596		0.014705122	0.194197732	0.023714612	
LH08273	0.610186105	0.215815316	0.02888027		0.214243924	0.126386397	0.023881099	
LH08274	0.242321969	0.034208305	0.156767782		0.314586647	0.127688052	0.228534714	
LH08276	0.265565115	0.62008816	0.53980811		0.503706661	0.001717667	0.2792558	
LH08277	0.032803928	0.327091293	0.08349847		0.173194278	1.149377512	0.449864677	
LH08279	2.37162861	12.60782968	8.549876624	lncRNA hit	0.877592479	8.298963909	2.188167086	
LH08280	0.144264651	0.186802335	0.032849449		0.042908337	0.936501284	0.390948773	
LH08281	0.053581327	0.03894405	0.030016915		0.008269959	0.046823718	0.020235415	
LH08284	0.735180456	0.02905295	0.209802838		2.944390499	2.143541193	2.966102787	
LH08287	0.064015995	0.015814928	0.033235303		1.019412913	0.161826998	0.447725941	
LH08288	2.477705309	0.195793445	1.020056409		0.527225152	0.361930499	0.425085364	
LH08289	0.282724381	0.292686473	0.235440317		0.962984181	0.027642129	0.064663888	
LH08299	1.524086509	0.209682212	0.45972314		0.039326479	0.14289839	0.318384859	
LH08306	1.047118121	0.032236063	0.112027557		0.017306567	0.059786411	0.041687151	
LH08308	0.948482023	0.905306427	0.371160824		0.195236935	0.719791336	0.60878845	
LH08309	28.09317602	62.92600278	40.6659106	lncRNA hit	36.47526376	65.68022743	51.97487057	lncRNA hit
LH08310	0.076323695	0.012632891	0.011668167		0.481712241	1.47344438	1.055624866	
LH08311	0.28000967	0.085389149	0.028477977		0.054336511	0.155825087	0.001003233	
LH08313	0.095981411	0.211129149	0.449918228		0.258595855	0.300893362	0.298331414	
LH08314	0.452220809	0.644584759	0.12587123		0.945569395	0.144604814	0.491793095	
LH08315	0.540730392	0.118661102	0.290135012		0.509744695	0.148147746	0.328104517	
LH08316	0.415148875	1.118377825	0.917098914		0.068195524	0.014218479	0.08820262	
LH08319	0.151063448	2.379588192	0.346191872		1.24778584	0.277776366	1.08818228	
LH08320	0.112400073	0.140688212	0.004568228		0.000559681	0.314082702	0.076789532	
LH08325	21.71941485	24.99646709	30.06615299	lncRNA hit	26.36735997	31.0228461	33.53719965	lncRNA hit
LH08326	5.053536671	7.031320689	6.049959542		0.160983296	2.417907843	0.111857674	
LH08327	0.008714286	0.059536848	0.042083765		0.188920479	0.052105616	0.061285505	
LH08329	11.02804501	6.616999165	9.455251262	lncRNA hit	8.328392394	6.382944095	6.892245417	
LH08333	20.11027167	29.46586435	28.10471001	Neighbor hit	33.8201212	43.17011709	44.93299857	Neighbor hit
LH08336	0.090652353	1.641517892	1.112255492		0.539941567	2.556617038	2.84923479	
LH08337	0.017799633	0.011889961	0.00120661		0.067308975	0.002708703	0.018705023	
LH08338	1.135866415	1.340687225	1.482767544		2.25339954	4.57133193	3.498772853	
LH08339	12.17452358	6.150066796	7.361133179	lncRNA hit	13.77740502	7.932795655	11.70639538	lncRNA hit
LH08340	0.081339126	0.016374553	0.007263547		0.213819238	0.703634314	0.780447341	
LH08342	0.072572955	0.197703429	0.020010332		1.24667315	0.177728125	0.282366884	
LH08344	1.205661401	0.85444607	1.50200836		3.596295044	3.077699638	3.81711429	
LH08346	0.078251421	0.8627232	0.328022699		0.022015466	0.526294464	0.630120003	
LH08347	0.618924825	0.066088192	0.366403022		0.97721865	0.084316384	0.662688016	
LH08351	0.073706251	0.043137166	0.00902911		0.159086657	0.193776711	0.241766209	
LH08354	0.329312689	0.330752962	0.84770455		4.466882894	0.457873221	2.539129315	
LH08355	0.603016506	0.01692223	0.485481693		3.012281442	1.116349909	2.486688558	
LH08356	1.017166656	0.701251265	0.139701537		0.800967497	1.11531056	0.347396072	
LH08357	0.555014107	0.185223276	0.053439256		0.024863204	1.588304082	0.366790802	
LH08358	0.464593527	0.004493981	0.46895378		1.136479141	2.011298546	1.575669187	
LH08359	0.889933736	2.619328975	2.630724727		0.256741451	0.851718144	0.770476457	
LH08361	0.000931567	1.571335251	0.868098404		0.90004634	0.827587677	1.027851656	
LH08362	0.48828647	0.269136552	0.547907535		0.678708939	1.981377157	1.207149172	
LH08364	0.002428296	0.178413207	0.116569292		0.010185354	1.850244644	1.292114574	
LH08365	0.91386738	0.85487199	0.196329452		0.485268709	0.275077115	0.292575667	
LH08367	0.083914004	0.458391979	0.346641396		0.043781119	0.48114261	0.348035811	
LH08370	0.729467791	0.375043725	0.497073331		0.046993903	1.273081776	0.433571758	
LH08371	2.177134133	1.18296718	2.225560455		8.291100812	7.661895803	9.531548409	Neighbor hit
LH08372	1.05065291	0.062197865	0.332574422		1.457916988	0.875574366	1.940110225	
LH08375	91.83757622	84.10095268	91.65423844	Neighbor hit	90.20009568	67.57757968	81.21260582	Neighbor hit
LH08381	1.010271924	2.458619359	3.134666547		2.572431009	1.847128609	3.834496874	
LH08383	4.865940433	5.975800541	5.438682954		1.500504239	0.932361884	1.203819166	
LH08386	5.217623397	3.477882372	5.527943356		2.920546237	3.121237951	4.079922198	
LH08388	0.445876925	3.468526252	0.77368222		2.925914462	8.270952001	7.00636615	lncRNA hit
LH08390	10.31693694	3.511791169	8.924719133	lncRNA hit	6.644118256	2.707403255	5.766437704	
LH08392	0.082016624	0.029405667	0.0014298		0.808938258	0.006145402	0.302967288	
LH08393	0.028586849	0.005533057	0.01463614		0.29880974	0.15796424	0.344383149	
LH08395	0.843175221	0.017612728	0.219722233		0.532222487	0.005691067	0.19795829	
LH08396	0.138622474	0.056443078	0.14814433		0.030440625	0.002468598	0.0098437	
LH08397	0.313880831	0.672966679	0.27410311		0.366592905	0.809014448	0.895138286	
LH08398	0.709303671	0.130331759	0.095585557		0.026400276	0.004807954	0.006532014	
LH08400	0.121839859	0.108198227	0.024697909		0.053634113	0.47325247	0.302524046	
LH08402	0.042069784	0.062464153	0.014460315		0.347284496	0.532733703	0.004765289	
LH08403	0.003217849	1.492905635	0.402033169		0.501122857	0.240402406	0.597104524	
LH08404	0.102228327	0.166861668	0.031195649		0.231204419	0.397298549	0.328711914	
LH08405	0.837376326	1.085165267	1.536092548		2.20339588	1.12410216	2.539123505	
LH08407	0.457948156	0.042926424	0.208205015		0.010741761	0.021610961	0.036306415	
LH08409	2.496433388	2.373232634	2.774716212		0.70597544	3.007858867	1.529418853	
LH08410	44.83531773	58.48625546	58.9296973	Neighbor hit	53.95046661	68.38401404	64.68720179	Neighbor hit
LH08411	0.006957321	0.083341411	0.026057517		0.173620553	0.489901903	0.427543824	
LH08413	0.105330813	2.156315231	1.357377602		0.189627065	0.03140422	0.024629934	
LH08414	0.401658168	3.148037933	0.085478367		0.44247562	8.717457778	2.811552595	
LH08415	1.122390415	0.942409054	0.487998664		0.596565609	0.791537784	0.037546855	
LH08416	0.015134408	0.008171197	0.034887891		0.138342993	1.443807827	0.599138966	
LH08423	0.08858738	0.679837987	0.455102436		3.132979478	5.617622749	5.247448105	
LH08424	0.364184963	0.132034782	0.028152367		0.03832926	0.205016947	0.189345188	
LH08425	0.043502143	0.004097857	0.172747217		0.794764615	0.728005936	0.002622384	
LH08427	0.261602665	0.006436012	0.190856616		0.101353382	0.091126786	0.077568395	
LH08428	0.255457538	0.006451334	0.334994287		0.021074497	0.131128125	0.023969506	
LH08429	1.188604267	1.704348934	2.028841949		0.022004664	0.080717117	0.060994523	
LH08435	0.114857517	0.167282062	0.147451		0.023047786	0.125529313	0.108077676	
LH08437	0.079237309	0.124231833	0.349275903		0.475087677	6.112125582	3.026391596	
LH08438	2.451424254	0.007079319	0.905496552		0.873029685	0.039751896	0.110227548	
LH08439	1.722615507	0.114895409	0.576014139		1.077040068	1.387891846	1.138452221	
LH08440	1.951309628	4.063249779	4.056735485		3.65567356	2.201902385	3.699759338	
LH08442	0.308727213	0.234991661	0.271393		0.069428455	0.184771122	0.194765537	
LH08443	0.113202961	0.216695014	0.293901942		2.116001863	0.134045461	0.496084257	
LH08444	0.760659662	1.620519379	1.558071343		0.631669332	0.466929623	1.08085606	
LH08446	9.268944201	11.10800146	12.48457027	lncRNA hit	7.249399026	18.9016283	15.68554927	lncRNA hit
LH08449	0.172346811	0.144206752	0.183855148		0.022725412	0.105358342	0.016847598	
LH08451	4.119181468	1.444962102	2.134959623		7.907131027	7.437398067	9.152078538	lncRNA hit
LH08454	0.450152542	1.357516125	0.741763941		0.56885945	1.765231135	2.135767428	
LH08457	72.93907972	96.89159361	90.48475314	Neighbor hit	69.38298894	84.59145964	83.39940699	Neighbor hit
LH08458	0.228140593	0.959088897	0.017042404		0.467017481	1.482047748	0.950074138	
LH08459	0.010211564	0.117717953	0.02753408		0.048933985	0.121811312	1.209143876	
LH08460	0.201634476	0.057940956	0.01519471		1.10475242	0.011265822	0.669454252	
LH08462	1.916208575	1.875988049	2.298940507		1.261106155	1.867527477	1.842346442	
LH08465	9.004247573	2.392665663	6.592518024		6.463987317	2.018550799	4.050815078	
LH08466	0.785240793	0.161483773	0.65382172		1.273743189	0.215127017	0.110469267	
LH08467	0.197738927	1.922529817	1.511442463		0.927923072	1.949713278	1.728604394	
LH08468	3.756653866	3.336941535	5.531717861		1.972018944	0.03681981	1.050874047	
LH08469	0.227877361	0.045948398	0.061427272		0.046955003	0.20112884	0.050233173	
LH08471	5.565857875	5.600681157	7.968118174	lncRNA hit	3.252104196	8.373893545	6.57593874	
LH08472	0.108200009	5.425407899	2.957348128		2.168819622	0.937526719	1.962555125	
LH08473	0.000415525	0.077744206	0.334485495		0.054891278	0.416662515	0.212199151	
LH08474	0.114691883	0.619479096	0.328102923		0.5627672	0.309943953	0.407633089	
LH08475	0.405661444	0.245497481	0.005395668		0.745387393	0.277582184	0.00868433	
LH08476	0.012269209	0.407669975	0.400201973		0.352172984	0.300255127	0.708159807	
LH08477	0.468087382	0.603995332	0.650705692		3.308464253	3.486742629	3.47164101	
LH08480	2.889569172	0.085235156	1.462101198		6.459795428	1.96703869	4.909939383	
LH08487	0.000839224	0.542238264	0.264739364		0.033218225	0.067688928	0.022743869	
LH08489	0.305976357	2.959352024	1.556430344		2.658683665	4.754214693	4.177847388	
LH08492	2.829743303	1.538741939	2.79865499		7.025678064	7.20300411	8.427261954	lncRNA hit
LH08493	0.237680292	0.121778244	0.096309022		0.108974502	0.010931404	0.017975575	
LH08495	1.652648412	0.632330787	1.617683035		0.014799107	0.121799993	0.064730877	
LH08496	0.065866539	0.003217704	0.031859436		0.423748686	0.38650955	0.577246612	
LH08497	1.279881212	0.105182399	0.621054826		0.490718844	0.30788904	0.343975727	
LH08499	0.126120402	0.556347208	0.053534631		0.460066897	0.299770628	0.197225335	
LH08501	0.45394857	0.014086756	0.289693266		1.451523269	0.629597169	1.088831672	
LH08502	0.499905645	1.095305073	0.079999628		0.08174904	0.109679527	0.046938435	
LH08503	0.385607593	0.15525024	0.263551817		1.348899715	2.621387288	3.047300199	
LH08504	0.636088429	0.288048195	0.608848853		0.497027205	0.038459477	0.216240301	
LH08506	0.120562056	0.032574089	0.079636781		0.09865223	0.301512489	0.214504416	
LH08507	0.089413854	0.224525105	0.009621356		0.442054351	0.273101008	0.273825755	
LH08508	0.060419226	1.810144788	0.802193436		0.23585974	0.183646117	0.013415711	
LH08509	0.13634868	0.122013911	0.012180072		0.160119576	0.951768516	0.018942011	
LH08510	0.350221218	0.10741542	0.525836688		0.36763737	0.013750187	0.206183481	
LH08511	0.019018828	0.319860595	0.069834782		0.02716019	0.03972879	0.019212231	
LH08512	0.173755623	0.015283784	0.096657975		0.121517654	0.213032739	0.048791082	
LH08513	1.81578603	0.342361582	0.568928275		0.837316963	1.058601792	1.061498027	
LH08514	0.323735514	0.053512707	0.063835779		0.384433938	0.425264558	0.338272861	
LH08518	3.402441799	2.596211058	3.694606509		3.516491368	4.883883864	5.283614942	
LH08521	12.87924176	28.52442906	24.43530721	Neighbor hit	54.29894998	77.23037417	74.60044546	Neighbor hit
LH08528	2.077483968	0.730397744	1.756474445		1.634909259	4.253019194	3.811112817	
LH08529	3.341477021	9.429382455	7.22661855	lncRNA hit	3.500737199	8.128915766	6.430004776	
LH08531	0.170324334	0.119734615	0.243700218		0.815525876	0.399042784	0.731365122	
LH08535	1.742269824	4.481882792	3.820002094		6.80588164	7.916502231	8.47946033	lncRNA hit
LH08536	0.086834936	0.146606387	0.001224359		0.48562205	0.410317973	0.508501371	
LH08537	4.548581482	4.436848511	6.099675193		12.23695932	13.43001935	15.81370466	lncRNA hit
LH08538	0.328589766	5.625297535	3.674124262		1.872626914	11.00170681	7.054025559	lncRNA hit
LH08539	0.064279885	0.348684317	0.01002702		0.178063396	0.2078995	0.451409563	
LH08540	0.520094622	0.386104051	0.837510738		0.33410413	0.722513303	0.711786683	
LH08543	0.077246979	0.111535524	0.132185566		0.436463436	0.121009396	0.638584383	
LH08546	0.348939184	0.06374132	0.041835196		3.014810195	0.153994497	1.577175984	
LH08547	0.018703951	0.061983786	0.117292589		0.007356723	0.699964306	0.233210354	
LH08549	0.001550304	0.183199497	0.132562481		0.121686752	0.069438982	0.083471409	
LH08550	1.147131104	0.662503358	1.298980758		2.999071326	3.191926939	3.404553714	
LH08552	1.55423499	1.343869298	2.118758662		3.996089352	1.990593936	3.227745068	
LH08553	2.459448668	1.671832334	3.121832771		1.854862125	7.466610572	5.035073315	
LH08554	0.152049354	0.358593467	0.056008453		1.920064726	0.125935133	0.417051164	
LH08555	0.088723079	1.30370994	0.074561356		0.398180452	1.770845328	0.427609215	
LH08556	0.002440192	0.066911581	0.028301294		0.004224448	0.093707052	0.123866955	
LH08557	1.009067262	0.232100328	0.069536123		1.464990808	0.538875594	0.346973537	
LH08558	0.123089865	1.402314753	1.365921542		0.02268618	0.100982552	0.017927324	
LH08560	0.743517846	2.964742362	2.180908745		0.019453818	2.226603387	0.527214163	
