NC_000014.9:+:61570538	ENST00000229465.10_1
NC_000001.11:-:59208120	ENST00000624265.3_1
NC_000001.11:+:28544460	ENST00000624273.1_1
NC_000001.11:+:33162851	ENST00000624339.1_1
NC_000001.11:+:206541758	ENST00000624347.1_1
NC_000001.11:+:16701546	ENST00000624517.1_1
NC_000001.11:-:95264060	ENST00000624604.3_1
NC_000001.11:+:40473055	ENST00000624658.1_1
NC_000001.11:-:54034879	ENST00000624679.1_1
NC_000001.11:+:44030439	ENST00000624869.1_1
NC_000001.11:+:228121523	ENST00000624958.1_1
NC_000001.11:-:15171642	ENST00000625027.2_1
NC_000001.11:+:33313516	ENST00000625117.1_1
NC_000001.11:-:213987713	ENST00000625209.2_1
NC_000001.11:-:213981330	ENST00000625344.2_1
NC_000001.11:+:218442626	ENST00000625474.1_1
NC_000001.11:-:213988468	ENST00000625722.2_1
NC_000001.11:+:44105499	ENST00000625982.1_1
NC_000001.11:+:160676307	ENST00000626085.2_1
NC_000001.11:+:45303875	ENST00000626198.1_1
NC_000001.11:-:213987546	ENST00000626228.2_1
NC_000001.11:-:165900322	ENST00000626270.1_1
NC_000001.11:-:205437878	ENST00000626538.1_1
NC_000001.11:+:110347116	ENST00000626572.2_1
NC_000001.11:+:27669490	ENST00000626608.2_1
NC_000001.11:+:110416091	ENST00000626643.2_1
NC_000001.11:+:33325628	ENST00000627130.1_1
NC_000001.11:+:33307374	ENST00000627421.1_1
NC_000001.11:+:112957093	ENST00000627431.2_1
NC_000001.11:-:213966187	ENST00000627511.2_1
NC_000001.11:+:160676307	ENST00000627996.2_1
NC_000001.11:+:160676307	ENST00000628340.1_2
NC_000001.11:+:27669490	ENST00000628586.2_1
NC_000001.11:+:33325628	ENST00000628643.2_1
NC_000001.11:+:51793934	ENST00000629102.1_1
NC_000001.11:-:213987546	ENST00000630180.2_1
NC_000001.11:+:33307374	ENST00000630229.1_1
NC_000001.11:+:160676307	ENST00000630436.2_1
NC_000001.11:+:97265446	ENST00000630798.1_1
NC_000001.11:-:95278939	ENST00000630835.1_1
NC_000001.11:+:33325628	ENST00000630909.2_1
NC_000001.11:+:110415610	ENST00000631010.1_1
NC_000001.11:+:110411020	ENST00000631307.2_1
NC_000001.11:+:244730874	ENST00000632004.1_1
NC_000001.11:-:9198704	ENST00000632503.1_1
NC_000001.11:+:114032377	ENST00000632517.1_2
NC_000001.11:+:225465030	ENST00000632561.1_1
NC_000001.11:+:212917144	ENST00000632866.1_1
NC_000001.11:-:215394416	ENST00000632868.1_1
NC_000001.11:+:230426529	ENST00000633012.1_1
NC_000001.11:+:153964361	ENST00000633140.1_1
NC_000001.11:+:32973553	ENST00000633169.1_1
NC_000001.11:+:201399490	ENST00000633182.1_1
NC_000001.11:-:16750576	ENST00000633433.1_1
NC_000001.11:-:60601676	ENST00000634281.1_1
NC_000001.11:-:827505	ENST00000634337.1_1
NC_000001.11:-:267910	ENST00000634344.1_1
NC_000001.11:+:22025504	ENST00000634451.1_1
NC_000001.11:+:58933643	ENST00000634502.1_1
NC_000001.11:+:200411801	ENST00000634596.1_1
NC_000001.11:+:108050327	ENST00000634635.1_1
NC_000001.11:+:71081352	ENST00000634641.1_1
NC_000001.11:+:22025504	ENST00000634712.1_1
NC_000001.11:-:58903663	ENST00000634763.1_1
NC_000001.11:+:105956718	ENST00000634776.1_1
NC_000001.11:+:22025504	ENST00000634934.1_1
NC_000001.11:+:9191048	ENST00000634966.1_1
NC_000001.11:-:58885661	ENST00000634986.1_1
NC_000001.11:+:4412095	ENST00000635002.1_1
NC_000001.11:+:6724672	ENST00000635029.1_1
NC_000001.11:+:59056642	ENST00000635072.1_1
NC_000001.11:-:22025447	ENST00000635097.1_1
NC_000001.11:+:105956718	ENST00000635102.1_1
NC_000001.11:+:200411801	ENST00000635220.1_1
NC_000001.11:+:9182188	ENST00000635271.1_1
NC_000001.11:-:60867986	ENST00000635290.1_1
NC_000001.11:-:64990061	ENST00000635398.1_1
NC_000001.11:-:9196944	ENST00000635405.1_1
NC_000001.11:+:48050659	ENST00000635446.1_1
NC_000001.11:+:22025504	ENST00000635450.1_1
NC_000001.11:-:90851617	ENST00000635581.1_1
NC_000001.11:-:64991140	ENST00000635626.1_1
NC_000001.11:-:200483578	ENST00000635660.1_1
NC_000001.11:+:22024531	ENST00000635675.1_1
NC_000001.11:-:9182309	ENST00000635687.1_1
NC_000001.11:+:101639586	ENST00000635702.1_1
NC_000001.11:-:90834688	ENST00000635959.1_1
NC_000001.11:-:200374111	ENST00000636153.1_1
NC_000001.11:+:161399407	ENST00000636161.1_1
NC_000001.11:+:58718422	ENST00000636386.1_1
NC_000001.11:-:161440995	ENST00000636824.1_1
NC_000001.11:-:200400704	ENST00000637098.1_1
NC_000001.11:-:161470758	ENST00000637155.1_1
NC_000001.11:+:200333193	ENST00000637430.1_1
NC_000001.11:-:5668254	ENST00000637702.1_1
NC_000001.11:+:26410816	ENST00000254231.4_1
NC_000001.11:+:62194848	ENST00000498273.1_1
NC_000001.11:+:85580760	ENST00000451137.6_1
NC_000001.11:+:26410816	ENST00000326279.10_1
NC_000001.11:-:27012845	ENST00000289166.5_1
NC_000001.11:+:32274120	ENST00000619559.4_1
NC_000001.11:+:212950593	ENST00000366968.8_1
NC_000001.11:+:63323041	ENST00000371116.3_1
NC_000001.11:-:225941219	ENST00000420304.6_1
NC_000001.11:-:225941219	ENST00000366820.9_2
NC_000001.11:-:225889145	ENST00000272134.5_1
NC_000001.11:-:11858944	ENST00000376468.3_1
NC_000001.11:-:161223627	ENST00000367990.7_1
NC_000001.11:-:153616323	ENST00000344616.3_1
NC_000001.11:-:153613109	ENST00000368706.8_1
NC_000001.11:-:153613109	ENST00000474991.1_1
NC_000001.11:+:48222715	ENST00000438567.6_2
NC_000001.11:+:226223663	ENST00000366810.5_1
NC_000001.11:+:26863148	ENST00000339276.5_1
NC_000001.11:+:28200667	ENST00000596102.1
NC_000001.11:-:68232548	ENST00000262348.8_1
NC_000001.11:-:85023784	ENST00000474447.1_1
NC_000002.12:-:176637988	ENST00000295549.8_1
NC_000002.12:-:111495094	ENST00000308604.5_1
NC_000002.12:-:25370686	ENST00000313031.2_1
NC_000002.12:-:108534200	ENST00000322353.3_1
NC_000002.12:+:87455428	ENST00000331944.10_1
NC_000002.12:+:109988469	ENST00000336905.3_1
NC_000002.12:-:176637608	ENST00000339037.3_1
NC_000002.12:-:158734976	ENST00000342892.4_1
NC_000002.12:+:25421092	ENST00000352271.6_1
NC_000002.12:+:29899597	ENST00000359823.2_1
NC_000002.12:-:213284215	ENST00000360083.3_1
NC_000002.12:+:39453841	ENST00000366187.2_1
NC_000002.12:-:70086989	ENST00000366234.3
NC_000002.12:+:85814873	ENST00000366278.2_1
NC_000002.12:+:55308492	ENST00000366287.4_1
NC_000002.12:-:1625409	ENST00000366424.2_1
NC_000002.12:-:111238365	ENST00000371162.4_1
NC_000002.12:-:111114184	ENST00000376593.2_1
NC_000002.12:+:65436684	ENST00000377977.3_1
NC_000002.12:-:27715731	ENST00000379677.2_1
NC_000002.12:+:10141387	ENST00000381786.7_1
NC_000002.12:-:6770310	ENST00000382045.3_1
NC_000002.12:-:134918657	ENST00000392929.6_1
NC_000002.12:-:227325169	ENST00000396588.6_1
NC_000002.12:-:177392690	ENST00000397057.6_1
NC_000002.12:-:240456699	ENST00000404327.3_1
NC_000002.12:+:10451947	ENST00000404616.2_1
NC_000002.12:+:240686336	ENST00000407635.2_1
NC_000002.12:+:87455478	ENST00000409054.1_1
NC_000002.12:-:238231667	ENST00000409376.5_1
NC_000002.12:+:239401405	ENST00000409526.1_1
NC_000002.12:-:111495094	ENST00000409569.2_1
NC_000002.12:-:170714571	ENST00000409786.1_1
NC_000002.12:-:202117045	ENST00000409819.1_1
NC_000002.12:+:197693106	ENST00000409845.1_1
NC_000002.12:-:237434821	ENST00000409910.1_1
NC_000002.12:-:238231667	ENST00000409942.4_1
NC_000002.12:-:218357982	ENST00000411433.1_1
NC_000002.12:+:204090457	ENST00000411436.1_1
NC_000002.12:-:27013972	ENST00000411685.6_1
NC_000002.12:-:108678600	ENST00000411710.1_1
NC_000002.12:-:97423528	ENST00000411738.1
NC_000002.12:+:27061038	ENST00000411862.1_1
NC_000002.12:-:190708715	ENST00000411949.5_1
NC_000002.12:+:210171515	ENST00000412065.1_1
NC_000002.12:-:4656214	ENST00000412134.5_1
NC_000002.12:-:242026180	ENST00000412193.1_1
NC_000002.12:+:187003274	ENST00000412276.5_1
NC_000002.12:-:63046565	ENST00000412297.1_1
NC_000002.12:-:16105864	ENST00000412381.5_1
NC_000002.12:-:207529772	ENST00000412387.5_1
NC_000002.12:-:95814668	ENST00000412393.5_1
NC_000002.12:+:138470656	ENST00000412593.1_1
NC_000002.12:+:12314318	ENST00000412606.1_1
NC_000002.12:-:8678351	ENST00000412712.1_1
NC_000002.12:+:27357139	ENST00000412749.1_1
NC_000002.12:+:174547381	ENST00000412835.1_1
NC_000002.12:-:214684156	ENST00000412896.5_1
NC_000002.12:+:66691415	ENST00000412944.1_1
NC_000002.12:+:215435906	ENST00000412951.1_1
NC_000002.12:+:239401770	ENST00000413029.1_1
NC_000002.12:-:70086484	ENST00000413069.1
NC_000002.12:-:47344987	ENST00000413185.2_1
NC_000002.12:-:38469440	ENST00000413227.1_1
NC_000002.12:+:24214381	ENST00000413254.5_1
NC_000002.12:-:215941718	ENST00000413311.1_1
NC_000002.12:+:236752774	ENST00000413385.1_1
NC_000002.12:-:70087802	ENST00000413436.1
NC_000002.12:-:73981418	ENST00000413452.1_1
NC_000002.12:+:144566092	ENST00000413525.1_1
NC_000002.12:-:63048545	ENST00000413549.1_1
NC_000002.12:-:45175210	ENST00000413669.2_1
NC_000002.12:-:70087374	ENST00000413791.1
NC_000002.12:-:241810648	ENST00000413820.1_1
NC_000002.12:+:38108073	ENST00000413828.3_1
NC_000002.12:-:234888801	ENST00000413842.1_1
NC_000002.12:+:121649798	ENST00000413904.6_1
NC_000002.12:-:190881985	ENST00000413911.1_1
NC_000002.12:+:5726468	ENST00000413960.1_1
NC_000002.12:-:134918657	ENST00000413962.5_1
NC_000002.12:+:24214381	ENST00000413989.5_1
NC_000002.12:-:216487195	ENST00000414135.1_1
NC_000002.12:-:70125310	ENST00000414141.1_1
NC_000002.12:-:67215315	ENST00000414404.1_1
NC_000002.12:+:10589129	ENST00000414538.1_1
NC_000002.12:+:121649647	ENST00000414554.6_1
NC_000002.12:+:87455478	ENST00000414584.1_1
NC_000002.12:-:7672184	ENST00000414654.1_1
NC_000002.12:+:181101932	ENST00000414750.1_1
NC_000002.12:+:215476667	ENST00000414756.1_1
NC_000002.12:+:112588920	ENST00000414784.1_1
NC_000002.12:-:230996028	ENST00000414876.5_1
NC_000002.12:-:241353782	ENST00000414896.1_1
NC_000002.12:-:138501694	ENST00000414911.1_1
NC_000002.12:-:201157822	ENST00000415011.6_1
NC_000002.12:+:231388976	ENST00000415129.1_1
NC_000002.12:-:230700526	ENST00000415174.1_1
NC_000002.12:-:70087319	ENST00000415222.1
NC_000002.12:+:236167446	ENST00000415226.1_1
NC_000002.12:+:178413975	ENST00000415236.1_1
NC_000002.12:-:206609811	ENST00000415275.1_1
NC_000002.12:-:65037496	ENST00000415327.1
NC_000002.12:-:69713846	ENST00000415342.1_1
NC_000002.12:-:188287681	ENST00000415357.1_1
NC_000002.12:+:241881366	ENST00000415434.5_1
NC_000002.12:+:215718099	ENST00000415479.1_1
NC_000002.12:-:7077879	ENST00000415520.5_1
NC_000002.12:+:178537640	ENST00000415561.1_1
NC_000002.12:+:105374139	ENST00000415627.1_1
NC_000002.12:+:39518611	ENST00000415640.1_1
NC_000002.12:-:70086272	ENST00000415742.1
NC_000002.12:-:70086272	ENST00000416068.1
NC_000002.12:-:172512375	ENST00000416080.1_1
NC_000002.12:-:113542689	ENST00000416105.1_1
NC_000002.12:-:14907663	ENST00000416173.1_1
NC_000002.12:+:241971178	ENST00000416204.1_1
NC_000002.12:+:70994482	ENST00000416229.1_1
NC_000002.12:-:31804906	ENST00000416279.1_1
NC_000002.12:-:70086272	ENST00000416395.1
NC_000002.12:-:3533882	ENST00000416463.1_1
NC_000002.12:-:70055816	ENST00000416506.1
NC_000002.12:-:237124096	ENST00000416509.1_1
NC_000002.12:-:7899665	ENST00000416534.5_1
NC_000002.12:+:19990210	ENST00000416575.1_1
NC_000002.12:-:7898192	ENST00000416607.1_1
NC_000002.12:-:113542689	ENST00000416758.5_1
NC_000002.12:+:62463127	ENST00000416845.1_1
NC_000002.12:+:219686542	ENST00000416861.1_1
NC_000002.12:-:176178108	ENST00000416928.6_1
NC_000002.12:+:174487387	ENST00000417038.1_1
NC_000002.12:-:176188550	ENST00000417086.5_1
NC_000002.12:-:207235801	ENST00000417096.5_1
NC_000002.12:-:38138945	ENST00000417213.1_1
NC_000002.12:-:241755739	ENST00000417267.1_1
NC_000002.12:+:219298968	ENST00000417355.1_1
NC_000002.12:+:215546207	ENST00000417485.6_1
NC_000002.12:-:172465622	ENST00000417539.1_1
NC_000002.12:-:61144968	ENST00000417691.1_1
NC_000002.12:+:47906814	ENST00000417692.1_1
NC_000002.12:+:7725802	ENST00000417930.1_1
NC_000002.12:+:237612718	ENST00000417947.1_1
NC_000002.12:-:74924904	ENST00000418001.1_1
NC_000002.12:+:231393774	ENST00000418050.1_1
NC_000002.12:+:178636694	ENST00000418062.1_1
NC_000002.12:-:170818039	ENST00000418106.1_1
NC_000002.12:-:19305713	ENST00000418165.5_1
NC_000002.12:-:70086272	ENST00000418308.1
NC_000002.12:-:14400957	ENST00000418420.1_1
NC_000002.12:+:159615305	ENST00000418474.1_1
NC_000002.12:-:70086272	ENST00000418564.1
NC_000002.12:-:111115587	ENST00000418615.1_1
NC_000002.12:-:159711991	ENST00000418770.5_1
NC_000002.12:-:6918708	ENST00000418970.6_1
NC_000002.12:+:74385508	ENST00000418990.1_1
NC_000002.12:+:22377564	ENST00000419013.1_1
NC_000002.12:-:1580310	ENST00000419028.2_1
NC_000002.12:-:47344987	ENST00000419035.1_1
NC_000002.12:-:15941683	ENST00000419083.5_1
NC_000002.12:+:109987062	ENST00000419296.1_1
NC_000002.12:-:131979872	ENST00000419362.1_1
NC_000002.12:-:44941908	ENST00000419364.1_1
NC_000002.12:+:37600165	ENST00000419425.1_1
NC_000002.12:-:218930607	ENST00000419511.1_1
NC_000002.12:-:69996853	ENST00000419542.1
NC_000002.12:-:191246174	ENST00000419640.1_1
NC_000002.12:+:7421283	ENST00000419713.5_1
NC_000002.12:-:186083222	ENST00000419719.1_1
NC_000002.12:-:111495050	ENST00000419736.5_1
NC_000002.12:+:178523212	ENST00000419746.5_1
NC_000002.12:+:135985176	ENST00000419808.5_1
NC_000002.12:-:67684076	ENST00000419809.1_1
NC_000002.12:+:121650105	ENST00000419902.2_1
NC_000002.12:+:106179408	ENST00000419904.1_1
NC_000002.12:-:215621455	ENST00000419922.1_1
NC_000002.12:-:70086272	ENST00000419963.1
NC_000002.12:+:214960392	ENST00000420134.1_1
NC_000002.12:-:5691296	ENST00000420221.1_1
NC_000002.12:-:70086272	ENST00000420309.1
NC_000002.12:+:117833937	ENST00000420330.1_1
NC_000002.12:+:210324730	ENST00000420418.5_1
NC_000002.12:-:15941600	ENST00000420452.5_1
NC_000002.12:+:206084654	ENST00000420509.1_1
NC_000002.12:-:113831572	ENST00000420579.1_1
NC_000002.12:-:38994036	ENST00000420644.1_1
NC_000002.12:+:178413975	ENST00000420672.1_1
NC_000002.12:-:65640176	ENST00000420724.1_1
NC_000002.12:+:174325994	ENST00000420866.1_1
NC_000002.12:-:61144968	ENST00000420918.3_1
NC_000002.12:+:16970049	ENST00000421181.1_1
NC_000002.12:-:70086272	ENST00000421255.1
NC_000002.12:-:96321887	ENST00000421534.1_1
NC_000002.12:-:23381255	ENST00000421563.5_1
NC_000002.12:-:120710522	ENST00000421820.1_1
NC_000002.12:+:24972125	ENST00000421842.1_1
NC_000002.12:+:24971361	ENST00000421904.5_1
NC_000002.12:+:30346645	ENST00000421976.2_1
NC_000002.12:-:185738698	ENST00000421998.5_1
NC_000002.12:+:223498773	ENST00000422118.1_1
NC_000002.12:+:39437424	ENST00000422128.5_1
NC_000002.12:+:113424495	ENST00000422178.1_1
NC_000002.12:+:107362241	ENST00000422203.2_1
NC_000002.12:+:215533057	ENST00000422353.5_1
NC_000002.12:+:24972125	ENST00000422449.1_1
NC_000002.12:-:70086272	ENST00000422515.1
NC_000002.12:+:58427774	ENST00000422723.5_1
NC_000002.12:-:61144968	ENST00000422740.1_1
NC_000002.12:+:58924602	ENST00000422793.1_1
NC_000002.12:-:3536851	ENST00000422961.5_1
NC_000002.12:-:173282036	ENST00000423106.2_1
NC_000002.12:+:43229573	ENST00000423354.1_1
NC_000002.12:-:70087990	ENST00000423402.1
NC_000002.12:-:205763946	ENST00000423425.3_1
NC_000002.12:-:45014174	ENST00000423433.1_1
NC_000002.12:+:74148044	ENST00000423477.2_1
NC_000002.12:-:215827451	ENST00000423530.5_1
NC_000002.12:-:64088404	ENST00000423539.2_1
NC_000002.12:+:34067226	ENST00000423593.1_1
NC_000002.12:-:3533882	ENST00000423704.1_1
NC_000002.12:-:6731225	ENST00000424179.5_1
NC_000002.12:-:153593287	ENST00000424322.1_1
NC_000002.12:-:6918681	ENST00000424351.1_1
NC_000002.12:-:108052754	ENST00000424355.1_1
NC_000002.12:-:113704173	ENST00000424612.1_1
NC_000002.12:+:208469850	ENST00000424628.1_1
NC_000002.12:+:86604289	ENST00000424788.1_1
NC_000002.12:-:19026930	ENST00000424895.1_1
NC_000002.12:-:176188550	ENST00000425005.5_1
NC_000002.12:+:16354219	ENST00000425176.5_1
NC_000002.12:-:223967705	ENST00000425192.1_1
NC_000002.12:-:70087319	ENST00000425333.1
NC_000002.12:-:218367852	ENST00000425481.1_1
NC_000002.12:-:109605697	ENST00000425576.1_1
NC_000002.12:-:96532312	ENST00000425578.1_1
NC_000002.12:-:168786428	ENST00000425636.6_1
NC_000002.12:+:165794823	ENST00000425688.1_1
NC_000002.12:+:39516864	ENST00000425775.1_1
NC_000002.12:+:61868430	ENST00000425779.1_1
NC_000002.12:-:62146880	ENST00000425966.6_1
NC_000002.12:+:39436576	ENST00000426083.5_1
NC_000002.12:+:170771043	ENST00000426475.1_1
NC_000002.12:-:23360694	ENST00000426527.1_1
NC_000002.12:+:16050427	ENST00000426539.1_1
NC_000002.12:+:86604015	ENST00000426549.1_1
NC_000002.12:+:176178168	ENST00000426615.3_1
NC_000002.12:+:3558556	ENST00000426725.1_1
NC_000002.12:+:241971178	ENST00000426962.1_1
NC_000002.12:-:176136921	ENST00000426965.1_1
NC_000002.12:+:199608067	ENST00000427045.5_1
NC_000002.12:-:186081344	ENST00000427108.5_1
NC_000002.12:-:185740475	ENST00000427269.2_1
NC_000002.12:+:144518142	ENST00000427278.7_1
NC_000002.12:+:58520753	ENST00000427421.5_1
NC_000002.12:+:67040546	ENST00000427579.1_1
NC_000002.12:-:234913383	ENST00000427619.5_1
NC_000002.12:+:286221	ENST00000427831.1_1
NC_000002.12:-:28736230	ENST00000428036.5_1
NC_000002.12:-:180980267	ENST00000428080.1_1
NC_000002.12:-:170695369	ENST00000428156.1_1
NC_000002.12:-:197302563	ENST00000428191.1_1
NC_000002.12:-:16105658	ENST00000428280.1_1
NC_000002.12:+:187554103	ENST00000428329.1_1
NC_000002.12:-:1160423	ENST00000428335.1_1
NC_000002.12:-:24174795	ENST00000428344.1_1
NC_000002.12:+:239401729	ENST00000428471.1_1
NC_000002.12:+:215678024	ENST00000428487.1_1
NC_000002.12:+:177264146	ENST00000428541.1_1
NC_000002.12:+:66691434	ENST00000428590.5_1
NC_000002.12:+:24972125	ENST00000428614.1_1
NC_000002.12:+:66383232	ENST00000428647.1_1
NC_000002.12:-:156024575	ENST00000428651.1_2
NC_000002.12:-:134918657	ENST00000428857.1_1
NC_000002.12:-:165846196	ENST00000428888.1_1
NC_000002.12:+:191922579	ENST00000428980.6_1
NC_000002.12:+:58428337	ENST00000429095.5_1
NC_000002.12:+:170771043	ENST00000429172.5_1
NC_000002.12:-:218961902	ENST00000429343.1_1
NC_000002.12:+:241970414	ENST00000429456.1_1
NC_000002.12:+:104434359	ENST00000429464.1_1
NC_000002.12:-:164352232	ENST00000429636.1_1
NC_000002.12:+:58428337	ENST00000429664.5_1
NC_000002.12:+:191030751	ENST00000429796.1_1
NC_000002.12:+:11848396	ENST00000429878.1_1
NC_000002.12:+:153337705	ENST00000429916.1_1
NC_000002.12:-:185800150	ENST00000429929.1_1
NC_000002.12:+:241881951	ENST00000429947.1_1
NC_000002.12:-:63047710	ENST00000429952.5_1
NC_000002.12:+:24214381	ENST00000430105.1_1
NC_000002.12:-:177323163	ENST00000430416.5_1
NC_000002.12:-:20106827	ENST00000430429.1_1
NC_000002.12:-:176762561	ENST00000430460.1_1
NC_000002.12:-:21965559	ENST00000430520.2_2
NC_000002.12:+:241881366	ENST00000430555.5_1
NC_000002.12:-:44935431	ENST00000430847.2_1
NC_000002.12:-:97424200	ENST00000430893.1
NC_000002.12:-:64204492	ENST00000431020.1_1
NC_000002.12:-:15680483	ENST00000431117.1_1
NC_000002.12:-:54546676	ENST00000431130.2_1
NC_000002.12:-:97423255	ENST00000431244.1
NC_000002.12:+:178523212	ENST00000431259.6_1
NC_000002.12:-:28664528	ENST00000431376.1_1
NC_000002.12:-:111495050	ENST00000431385.5_1
NC_000002.12:-:106538078	ENST00000431411.1_1
NC_000002.12:-:11745298	ENST00000431500.2_1
NC_000002.12:+:741997	ENST00000431542.1_1
NC_000002.12:-:25376712	ENST00000431557.1_1
NC_000002.12:+:25204256	ENST00000431650.1_1
NC_000002.12:+:37744333	ENST00000431712.1_1
NC_000002.12:+:178636694	ENST00000431752.1_1
NC_000002.12:-:219426155	ENST00000431827.1_1
NC_000002.12:-:216498751	ENST00000431856.1_1
NC_000002.12:-:102984428	ENST00000431897.1_1
NC_000002.12:+:131637025	ENST00000431979.1_1
NC_000002.12:-:138501694	ENST00000431985.5_1
NC_000002.12:+:47905679	ENST00000432064.1_1
NC_000002.12:-:44935768	ENST00000432125.2_1
NC_000002.12:-:19305713	ENST00000432142.5_1
NC_000002.12:+:96240117	ENST00000432267.2_1
NC_000002.12:-:4643354	ENST00000432314.5_1
NC_000002.12:-:207254304	ENST00000432413.2_1
NC_000002.12:+:133266194	ENST00000432414.5_1
NC_000002.12:-:120558108	ENST00000432474.1_1
NC_000002.12:-:70086382	ENST00000432604.1
NC_000002.12:-:23030420	ENST00000432612.1_1
NC_000002.12:-:115161333	ENST00000432658.1_1
NC_000002.12:-:195572990	ENST00000432711.1_1
NC_000002.12:+:121178327	ENST00000432984.1_1
NC_000002.12:+:210324730	ENST00000433296.5_1
NC_000002.12:-:8678804	ENST00000433340.1_1
NC_000002.12:+:85186311	ENST00000433581.1_1
NC_000002.12:-:8678804	ENST00000433592.1_1
NC_000002.12:+:19868886	ENST00000433669.1_1
NC_000002.12:+:127388243	ENST00000433673.1_1
NC_000002.12:+:37324895	ENST00000433893.1_1
NC_000002.12:+:100104939	ENST00000434301.1_1
NC_000002.12:-:188287681	ENST00000434418.2_1
NC_000002.12:-:59388267	ENST00000434611.1_1
NC_000002.12:-:154457437	ENST00000434635.1_1
NC_000002.12:+:201167031	ENST00000434645.1_1
NC_000002.12:-:70087319	ENST00000434781.1
NC_000002.12:+:230886875	ENST00000434807.1_1
NC_000002.12:+:24972125	ENST00000434897.1_1
NC_000002.12:+:11681436	ENST00000435175.1_1
NC_000002.12:-:241726074	ENST00000435195.1_1
NC_000002.12:+:21221159	ENST00000435237.1_1
NC_000002.12:+:47526976	ENST00000435331.3_1
NC_000002.12:+:52373118	ENST00000435357.1_1
NC_000002.12:-:113831572	ENST00000435407.1_1
NC_000002.12:+:206085330	ENST00000435627.1_1
NC_000002.12:+:207173634	ENST00000435643.1_1
NC_000002.12:-:70086989	ENST00000435880.2
NC_000002.12:-:234888775	ENST00000435896.5_1
NC_000002.12:-:176188550	ENST00000436126.5_1
NC_000002.12:+:161244738	ENST00000436506.1_1
NC_000002.12:-:41933919	ENST00000436551.1_1
NC_000002.12:-:185800149	ENST00000436557.5_1
NC_000002.12:+:178413975	ENST00000436616.2_1
NC_000002.12:-:110384441	ENST00000436665.2_1
NC_000002.12:+:174328708	ENST00000436820.1_1
NC_000002.12:+:105144069	ENST00000436841.1_1
NC_000002.12:+:112590796	ENST00000436885.1_1
NC_000002.12:-:172556439	ENST00000436922.1_1
NC_000002.12:+:64228452	ENST00000436950.5_1
NC_000002.12:-:70086272	ENST00000437019.1
NC_000002.12:-:232421401	ENST00000437095.1_1
NC_000002.12:+:150171376	ENST00000437118.1_1
NC_000002.12:-:77654667	ENST00000437233.1_1
NC_000002.12:-:131832049	ENST00000437330.1_1
NC_000002.12:-:241802094	ENST00000437438.1_1
NC_000002.12:-:70086272	ENST00000437456.1
NC_000002.12:-:6918708	ENST00000437589.2_1
NC_000002.12:-:227265172	ENST00000437673.5_1
NC_000002.12:-:33563526	ENST00000437680.1_1
NC_000002.12:-:161423588	ENST00000437683.1_1
NC_000002.12:-:185739063	ENST00000437717.1_1
NC_000002.12:-:214684156	ENST00000437883.1_1
NC_000002.12:-:44939231	ENST00000437916.2_1
NC_000002.12:-:38463113	ENST00000437979.1_1
NC_000002.12:+:74385508	ENST00000437991.1_1
NC_000002.12:-:38417926	ENST00000438085.1_1
NC_000002.12:+:178540121	ENST00000438095.1_1
NC_000002.12:+:64143275	ENST00000438115.6_1
NC_000002.12:-:176766110	ENST00000438143.1_1
NC_000002.12:+:105144069	ENST00000438148.1_1
NC_000002.12:+:15564170	ENST00000438178.1_1
NC_000002.12:-:1619836	ENST00000438247.1_1
NC_000002.12:+:135985176	ENST00000438432.5_1
NC_000002.12:+:3558470	ENST00000438436.2_1
NC_000002.12:-:3536851	ENST00000438482.1_1
NC_000002.12:-:124025172	ENST00000438816.1_1
NC_000002.12:+:111265228	ENST00000438897.1_1
NC_000002.12:-:216498751	ENST00000438978.1_1
NC_000002.12:+:161244738	ENST00000439050.1_1
NC_000002.12:-:15941250	ENST00000439180.1_1
NC_000002.12:+:47526976	ENST00000439182.2_1
NC_000002.12:+:158127957	ENST00000439185.1_1
NC_000002.12:-:73981440	ENST00000439192.1_1
NC_000002.12:-:693210	ENST00000439196.1_1
NC_000002.12:+:121649647	ENST00000439321.1_1
NC_000002.12:-:111495050	ENST00000439362.5_1
NC_000002.12:+:113669166	ENST00000439382.1_1
NC_000002.12:-:60881388	ENST00000439412.5_1
NC_000002.12:-:3533882	ENST00000439547.5_1
NC_000002.12:-:227325169	ENST00000439598.6_1
NC_000002.12:+:241933823	ENST00000439601.1_1
NC_000002.12:-:70086484	ENST00000439670.2
NC_000002.12:+:47905910	ENST00000439870.1_1
NC_000002.12:+:117836152	ENST00000439955.1_1
NC_000002.12:+:64644506	ENST00000439964.1_1
NC_000002.12:-:176136921	ENST00000440016.6_1
NC_000002.12:-:235783386	ENST00000440101.1_1
NC_000002.12:+:207239643	ENST00000440326.1_1
NC_000002.12:+:84315069	ENST00000440495.1_1
NC_000002.12:+:235505552	ENST00000440498.1_1
NC_000002.12:-:207237876	ENST00000440545.1_1
NC_000002.12:+:208255228	ENST00000440574.1_1
NC_000002.12:+:51032600	ENST00000440698.1_1
NC_000002.12:-:108534200	ENST00000440975.1_1
NC_000002.12:-:111495094	ENST00000441075.1_1
NC_000002.12:-:177164618	ENST00000441205.1_1
NC_000002.12:+:73984909	ENST00000441217.1_1
NC_000002.12:-:64453923	ENST00000441630.1_1
NC_000002.12:-:218367852	ENST00000441749.1_1
NC_000002.12:+:216604771	ENST00000441803.1_1
